id_item,length,width,height,weight,nesting_height,stackability_code,forced_orientation,max_stackability,delivery_priority,delivery_stop_id,delivery_data_source
I0000,780,570,478,81.720,47,0,w,4,1,STOP-001,cross_level_declared_delivery_v1
I0001,780,570,478,81.720,47,0,w,4,2,STOP-002,cross_level_declared_delivery_v1
I0002,780,570,478,81.720,47,0,w,4,3,STOP-003,cross_level_declared_delivery_v1
I0003,780,570,478,96.256,47,0,w,4,4,STOP-004,cross_level_declared_delivery_v1
I0004,780,570,478,96.256,47,0,w,4,5,STOP-005,cross_level_declared_delivery_v1
I0005,780,570,478,96.256,47,0,w,4,1,STOP-001,cross_level_declared_delivery_v1
I0006,1200,1000,975,577.800,45,1,n,100,2,STOP-002,cross_level_declared_delivery_v1
I0007,1200,1000,975,577.800,45,1,n,100,3,STOP-003,cross_level_declared_delivery_v1
I0008,1200,1000,975,577.800,45,1,n,100,4,STOP-004,cross_level_declared_delivery_v1
I0009,1200,1000,975,577.800,45,1,n,100,5,STOP-005,cross_level_declared_delivery_v1
I0010,1200,1000,975,577.800,45,1,n,100,1,STOP-001,cross_level_declared_delivery_v1
I0011,1200,1000,975,577.800,45,1,n,100,2,STOP-002,cross_level_declared_delivery_v1
I0012,1400,1225,1160,278.500,0,2,n,100,3,STOP-003,cross_level_declared_delivery_v1
I0013,1400,1225,1160,278.500,0,2,n,100,4,STOP-004,cross_level_declared_delivery_v1
I0014,1400,1225,1160,278.500,0,2,n,100,5,STOP-005,cross_level_declared_delivery_v1
I0015,1400,1225,1160,278.500,0,2,n,100,1,STOP-001,cross_level_declared_delivery_v1
I0016,1400,1225,1160,278.500,0,2,n,100,2,STOP-002,cross_level_declared_delivery_v1
I0017,1400,1225,1160,278.500,0,2,n,100,3,STOP-003,cross_level_declared_delivery_v1
I0018,1400,1225,1160,278.500,0,2,n,100,4,STOP-004,cross_level_declared_delivery_v1
I0019,1400,1225,1160,278.500,0,2,n,100,5,STOP-005,cross_level_declared_delivery_v1
I0020,1400,1225,1160,278.500,0,2,n,100,1,STOP-001,cross_level_declared_delivery_v1
I0021,1400,1225,1160,278.500,0,2,n,100,2,STOP-002,cross_level_declared_delivery_v1
I0022,780,570,478,100.960,47,0,w,4,3,STOP-003,cross_level_declared_delivery_v1
I0023,780,570,478,100.960,47,0,w,4,4,STOP-004,cross_level_declared_delivery_v1
I0024,780,570,478,100.960,47,0,w,4,5,STOP-005,cross_level_declared_delivery_v1
I0025,780,570,478,100.960,47,0,w,4,1,STOP-001,cross_level_declared_delivery_v1
I0026,780,570,478,100.960,47,0,w,4,2,STOP-002,cross_level_declared_delivery_v1
I0027,1400,1200,1450,179.400,45,3,n,100,3,STOP-003,cross_level_declared_delivery_v1
I0028,1400,1200,1450,179.400,45,3,n,100,4,STOP-004,cross_level_declared_delivery_v1
I0029,1400,1200,1450,179.400,45,3,n,100,5,STOP-005,cross_level_declared_delivery_v1
I0030,1400,1200,1450,179.400,45,3,n,100,1,STOP-001,cross_level_declared_delivery_v1
I0031,1400,1200,1450,179.400,45,3,n,100,2,STOP-002,cross_level_declared_delivery_v1
I0032,1400,1200,1450,179.400,45,3,n,100,3,STOP-003,cross_level_declared_delivery_v1
I0033,1400,1200,1450,179.400,45,3,n,100,4,STOP-004,cross_level_declared_delivery_v1
I0034,1400,1200,1450,179.400,45,3,n,100,5,STOP-005,cross_level_declared_delivery_v1
I0035,1400,1200,1450,179.400,45,3,n,100,1,STOP-001,cross_level_declared_delivery_v1
I0036,1400,1200,1450,179.400,45,3,n,100,2,STOP-002,cross_level_declared_delivery_v1
I0037,1400,1200,1450,179.400,45,3,n,100,3,STOP-003,cross_level_declared_delivery_v1
I0038,1400,1200,1450,179.400,45,3,n,100,4,STOP-004,cross_level_declared_delivery_v1
I0039,1400,1200,1450,179.400,45,3,n,100,5,STOP-005,cross_level_declared_delivery_v1
I0040,1400,1200,1450,179.400,45,3,n,100,1,STOP-001,cross_level_declared_delivery_v1
I0041,1400,1200,1450,179.400,45,3,n,100,2,STOP-002,cross_level_declared_delivery_v1
I0042,1400,1200,1450,179.400,45,3,n,100,3,STOP-003,cross_level_declared_delivery_v1
I0043,1600,1200,975,1471.600,45,4,n,100,4,STOP-004,cross_level_declared_delivery_v1
I0044,1900,1200,750,713.620,45,5,n,100,5,STOP-005,cross_level_declared_delivery_v1
I0045,1400,1200,1450,179.400,45,3,n,100,1,STOP-001,cross_level_declared_delivery_v1
I0046,1400,1200,1450,179.400,45,3,n,100,2,STOP-002,cross_level_declared_delivery_v1
I0047,1400,1200,1450,179.400,45,3,n,100,3,STOP-003,cross_level_declared_delivery_v1
I0048,1400,1200,1450,179.400,45,3,n,100,4,STOP-004,cross_level_declared_delivery_v1
