id_item,length,width,height,weight,nesting_height,stackability_code,forced_orientation,max_stackability,delivery_priority,delivery_stop_id,delivery_data_source
B01,200,80,60,100,0,A,XYZ,3,3,STOP-C,synthetic_level_08_sequential_generic_v1
B02,200,80,60,100,0,A,XYZ,3,3,STOP-C,synthetic_level_08_sequential_generic_v1
B03,200,80,60,100,0,A,XYZ,3,3,STOP-C,synthetic_level_08_sequential_generic_v1
B04,200,80,60,100,0,A,XYZ,3,3,STOP-C,synthetic_level_08_sequential_generic_v1
B05,200,80,60,100,0,A,XYZ,3,3,STOP-C,synthetic_level_08_sequential_generic_v1
M01,50,80,60,1,0,A,XYZ,3,2,STOP-B,synthetic_level_08_sequential_generic_v1
M02,50,80,60,1,0,A,XYZ,3,2,STOP-B,synthetic_level_08_sequential_generic_v1
M03,50,80,60,1,0,A,XYZ,3,2,STOP-B,synthetic_level_08_sequential_generic_v1
M04,50,80,60,1,0,A,XYZ,3,2,STOP-B,synthetic_level_08_sequential_generic_v1
M05,50,80,60,1,0,A,XYZ,3,2,STOP-B,synthetic_level_08_sequential_generic_v1
E01,50,80,60,1,0,A,XYZ,3,1,STOP-A,synthetic_level_08_sequential_generic_v1
E02,50,80,60,1,0,A,XYZ,3,1,STOP-A,synthetic_level_08_sequential_generic_v1
E03,50,80,60,1,0,A,XYZ,3,1,STOP-A,synthetic_level_08_sequential_generic_v1
E04,50,80,60,1,0,A,XYZ,3,1,STOP-A,synthetic_level_08_sequential_generic_v1
E05,50,80,60,1,0,A,XYZ,3,1,STOP-A,synthetic_level_08_sequential_generic_v1
E06,50,80,60,1,0,A,XYZ,3,1,STOP-A,synthetic_level_08_sequential_generic_v1
E07,50,80,60,1,0,A,XYZ,3,1,STOP-A,synthetic_level_08_sequential_generic_v1
E08,50,80,60,1,0,A,XYZ,3,1,STOP-A,synthetic_level_08_sequential_generic_v1
E09,50,80,60,1,0,A,XYZ,3,1,STOP-A,synthetic_level_08_sequential_generic_v1
E10,50,80,60,1,0,A,XYZ,3,1,STOP-A,synthetic_level_08_sequential_generic_v1
