shipment_unit_id,outer_length_mm,outer_width_mm,outer_height_mm,gross_mass_kg,delivery_sequence,route_stop,delivery_metadata_source,synthetic_profile_id
L8-000001,649,491,415,54.274,1,STOP-001,synthetic_level_08_generator_v1,level_08_web_demo_100_c10_v1
L8-000002,526,359,421,97.869,2,STOP-002,synthetic_level_08_generator_v1,level_08_web_demo_100_c10_v1
L8-000003,799,393,356,82.857,3,STOP-003,synthetic_level_08_generator_v1,level_08_web_demo_100_c10_v1
L8-000004,216,288,472,8.062,4,STOP-004,synthetic_level_08_generator_v1,level_08_web_demo_100_c10_v1
L8-000005,341,422,343,105.463,5,STOP-005,synthetic_level_08_generator_v1,level_08_web_demo_100_c10_v1
L8-000006,278,186,191,100.094,1,STOP-001,synthetic_level_08_generator_v1,level_08_web_demo_100_c10_v1
L8-000007,540,269,266,118.077,2,STOP-002,synthetic_level_08_generator_v1,level_08_web_demo_100_c10_v1
L8-000008,378,582,438,98.91,3,STOP-003,synthetic_level_08_generator_v1,level_08_web_demo_100_c10_v1
L8-000009,278,466,327,65.494,4,STOP-004,synthetic_level_08_generator_v1,level_08_web_demo_100_c10_v1
L8-000010,225,333,224,41.724,5,STOP-005,synthetic_level_08_generator_v1,level_08_web_demo_100_c10_v1
L8-000011,680,311,271,53.289,1,STOP-001,synthetic_level_08_generator_v1,level_08_web_demo_100_c10_v1
L8-000012,204,542,313,100.614,2,STOP-002,synthetic_level_08_generator_v1,level_08_web_demo_100_c10_v1
L8-000013,692,320,177,39.267,3,STOP-003,synthetic_level_08_generator_v1,level_08_web_demo_100_c10_v1
L8-000014,419,445,446,116.565,4,STOP-004,synthetic_level_08_generator_v1,level_08_web_demo_100_c10_v1
L8-000015,552,155,406,91.184,5,STOP-005,synthetic_level_08_generator_v1,level_08_web_demo_100_c10_v1
L8-000016,492,525,466,26.178,1,STOP-001,synthetic_level_08_generator_v1,level_08_web_demo_100_c10_v1
L8-000017,480,218,104,60.592,2,STOP-002,synthetic_level_08_generator_v1,level_08_web_demo_100_c10_v1
L8-000018,397,338,135,107.9,3,STOP-003,synthetic_level_08_generator_v1,level_08_web_demo_100_c10_v1
L8-000019,781,178,117,57.969,4,STOP-004,synthetic_level_08_generator_v1,level_08_web_demo_100_c10_v1
L8-000020,752,285,371,52.551,5,STOP-005,synthetic_level_08_generator_v1,level_08_web_demo_100_c10_v1
L8-000021,219,466,141,91.535,1,STOP-001,synthetic_level_08_generator_v1,level_08_web_demo_100_c10_v1
L8-000022,428,287,302,10.172,2,STOP-002,synthetic_level_08_generator_v1,level_08_web_demo_100_c10_v1
L8-000023,697,423,450,114.079,3,STOP-003,synthetic_level_08_generator_v1,level_08_web_demo_100_c10_v1
L8-000024,295,588,449,10.943,4,STOP-004,synthetic_level_08_generator_v1,level_08_web_demo_100_c10_v1
L8-000025,223,154,288,22.153,5,STOP-005,synthetic_level_08_generator_v1,level_08_web_demo_100_c10_v1
L8-000026,735,423,107,19.736,1,STOP-001,synthetic_level_08_generator_v1,level_08_web_demo_100_c10_v1
L8-000027,768,402,357,50.802,2,STOP-002,synthetic_level_08_generator_v1,level_08_web_demo_100_c10_v1
L8-000028,294,477,297,70.462,3,STOP-003,synthetic_level_08_generator_v1,level_08_web_demo_100_c10_v1
L8-000029,241,515,123,88.588,4,STOP-004,synthetic_level_08_generator_v1,level_08_web_demo_100_c10_v1
L8-000030,229,479,423,106.886,5,STOP-005,synthetic_level_08_generator_v1,level_08_web_demo_100_c10_v1
L8-000031,207,480,127,109.782,1,STOP-001,synthetic_level_08_generator_v1,level_08_web_demo_100_c10_v1
L8-000032,349,469,247,20.604,2,STOP-002,synthetic_level_08_generator_v1,level_08_web_demo_100_c10_v1
L8-000033,677,201,301,29.802,3,STOP-003,synthetic_level_08_generator_v1,level_08_web_demo_100_c10_v1
L8-000034,450,245,109,103.748,4,STOP-004,synthetic_level_08_generator_v1,level_08_web_demo_100_c10_v1
L8-000035,706,343,179,103.294,5,STOP-005,synthetic_level_08_generator_v1,level_08_web_demo_100_c10_v1
L8-000036,547,373,262,27.439,1,STOP-001,synthetic_level_08_generator_v1,level_08_web_demo_100_c10_v1
L8-000037,301,418,107,68.235,2,STOP-002,synthetic_level_08_generator_v1,level_08_web_demo_100_c10_v1
L8-000038,474,485,425,71.738,3,STOP-003,synthetic_level_08_generator_v1,level_08_web_demo_100_c10_v1
L8-000039,727,326,294,103.94,4,STOP-004,synthetic_level_08_generator_v1,level_08_web_demo_100_c10_v1
L8-000040,608,566,132,78.152,5,STOP-005,synthetic_level_08_generator_v1,level_08_web_demo_100_c10_v1
L8-000041,672,386,497,14.949,1,STOP-001,synthetic_level_08_generator_v1,level_08_web_demo_100_c10_v1
L8-000042,465,386,162,94.11,2,STOP-002,synthetic_level_08_generator_v1,level_08_web_demo_100_c10_v1
L8-000043,356,389,294,41.609,3,STOP-003,synthetic_level_08_generator_v1,level_08_web_demo_100_c10_v1
L8-000044,492,527,361,67.825,4,STOP-004,synthetic_level_08_generator_v1,level_08_web_demo_100_c10_v1
L8-000045,364,379,314,86.403,5,STOP-005,synthetic_level_08_generator_v1,level_08_web_demo_100_c10_v1
L8-000046,426,378,230,8.687,1,STOP-001,synthetic_level_08_generator_v1,level_08_web_demo_100_c10_v1
L8-000047,760,410,417,115.468,2,STOP-002,synthetic_level_08_generator_v1,level_08_web_demo_100_c10_v1
L8-000048,738,181,482,11.041,3,STOP-003,synthetic_level_08_generator_v1,level_08_web_demo_100_c10_v1
L8-000049,676,183,110,114.226,4,STOP-004,synthetic_level_08_generator_v1,level_08_web_demo_100_c10_v1
L8-000050,457,509,199,111.501,5,STOP-005,synthetic_level_08_generator_v1,level_08_web_demo_100_c10_v1
L8-000051,623,451,275,16.515,1,STOP-001,synthetic_level_08_generator_v1,level_08_web_demo_100_c10_v1
L8-000052,356,438,413,75.881,2,STOP-002,synthetic_level_08_generator_v1,level_08_web_demo_100_c10_v1
L8-000053,238,524,325,68.513,3,STOP-003,synthetic_level_08_generator_v1,level_08_web_demo_100_c10_v1
L8-000054,558,490,317,25.708,4,STOP-004,synthetic_level_08_generator_v1,level_08_web_demo_100_c10_v1
L8-000055,513,253,475,52.307,5,STOP-005,synthetic_level_08_generator_v1,level_08_web_demo_100_c10_v1
L8-000056,419,326,432,101.388,1,STOP-001,synthetic_level_08_generator_v1,level_08_web_demo_100_c10_v1
L8-000057,650,455,172,58.989,2,STOP-002,synthetic_level_08_generator_v1,level_08_web_demo_100_c10_v1
L8-000058,306,235,419,76.794,3,STOP-003,synthetic_level_08_generator_v1,level_08_web_demo_100_c10_v1
L8-000059,757,160,337,34.993,4,STOP-004,synthetic_level_08_generator_v1,level_08_web_demo_100_c10_v1
L8-000060,377,547,271,112.719,5,STOP-005,synthetic_level_08_generator_v1,level_08_web_demo_100_c10_v1
L8-000061,633,157,140,37.317,1,STOP-001,synthetic_level_08_generator_v1,level_08_web_demo_100_c10_v1
L8-000062,799,442,356,67.787,2,STOP-002,synthetic_level_08_generator_v1,level_08_web_demo_100_c10_v1
L8-000063,490,301,251,93.787,3,STOP-003,synthetic_level_08_generator_v1,level_08_web_demo_100_c10_v1
L8-000064,558,576,342,50.933,4,STOP-004,synthetic_level_08_generator_v1,level_08_web_demo_100_c10_v1
L8-000065,300,548,290,9.286,5,STOP-005,synthetic_level_08_generator_v1,level_08_web_demo_100_c10_v1
L8-000066,363,580,358,48.544,1,STOP-001,synthetic_level_08_generator_v1,level_08_web_demo_100_c10_v1
L8-000067,461,418,409,113.65,2,STOP-002,synthetic_level_08_generator_v1,level_08_web_demo_100_c10_v1
L8-000068,619,582,347,70.842,3,STOP-003,synthetic_level_08_generator_v1,level_08_web_demo_100_c10_v1
L8-000069,401,499,333,19.503,4,STOP-004,synthetic_level_08_generator_v1,level_08_web_demo_100_c10_v1
L8-000070,236,539,262,93.807,5,STOP-005,synthetic_level_08_generator_v1,level_08_web_demo_100_c10_v1
L8-000071,644,515,303,13.553,1,STOP-001,synthetic_level_08_generator_v1,level_08_web_demo_100_c10_v1
L8-000072,512,577,330,35.662,2,STOP-002,synthetic_level_08_generator_v1,level_08_web_demo_100_c10_v1
L8-000073,354,332,192,80.515,3,STOP-003,synthetic_level_08_generator_v1,level_08_web_demo_100_c10_v1
L8-000074,531,319,347,30.487,4,STOP-004,synthetic_level_08_generator_v1,level_08_web_demo_100_c10_v1
L8-000075,326,266,470,86.292,5,STOP-005,synthetic_level_08_generator_v1,level_08_web_demo_100_c10_v1
L8-000076,543,347,216,24.968,1,STOP-001,synthetic_level_08_generator_v1,level_08_web_demo_100_c10_v1
L8-000077,292,555,442,42.696,2,STOP-002,synthetic_level_08_generator_v1,level_08_web_demo_100_c10_v1
L8-000078,586,165,431,93.48,3,STOP-003,synthetic_level_08_generator_v1,level_08_web_demo_100_c10_v1
L8-000079,733,569,207,50.909,4,STOP-004,synthetic_level_08_generator_v1,level_08_web_demo_100_c10_v1
L8-000080,316,223,330,118.426,5,STOP-005,synthetic_level_08_generator_v1,level_08_web_demo_100_c10_v1
L8-000081,674,159,307,61.931,1,STOP-001,synthetic_level_08_generator_v1,level_08_web_demo_100_c10_v1
L8-000082,357,234,426,81.602,2,STOP-002,synthetic_level_08_generator_v1,level_08_web_demo_100_c10_v1
L8-000083,275,309,194,104.0,3,STOP-003,synthetic_level_08_generator_v1,level_08_web_demo_100_c10_v1
L8-000084,577,570,299,80.996,4,STOP-004,synthetic_level_08_generator_v1,level_08_web_demo_100_c10_v1
L8-000085,325,529,244,117.068,5,STOP-005,synthetic_level_08_generator_v1,level_08_web_demo_100_c10_v1
L8-000086,497,475,180,96.823,1,STOP-001,synthetic_level_08_generator_v1,level_08_web_demo_100_c10_v1
L8-000087,218,281,107,99.91,2,STOP-002,synthetic_level_08_generator_v1,level_08_web_demo_100_c10_v1
L8-000088,391,256,210,15.807,3,STOP-003,synthetic_level_08_generator_v1,level_08_web_demo_100_c10_v1
L8-000089,285,253,297,102.463,4,STOP-004,synthetic_level_08_generator_v1,level_08_web_demo_100_c10_v1
L8-000090,235,386,218,53.956,5,STOP-005,synthetic_level_08_generator_v1,level_08_web_demo_100_c10_v1
