case_id,algorithm,selected_item_ids_checksum,median_wall_runtime_seconds_level_03,median_used_container_count_level_03,median_total_container_cost_level_03,level_id_level_03,median_wall_runtime_seconds_level_04,median_used_container_count_level_04,median_total_container_cost_level_04,level_id_level_04,median_wall_runtime_seconds_level_05,median_used_container_count_level_05,median_total_container_cost_level_05,level_id,level_04_vs_03_runtime_ratio,level_05_vs_04_runtime_ratio,level_04_minus_03_containers,level_05_minus_04_containers
random_random_s1009_i100,extreme_point_best_fit,37450de20deb61df179aa4bc93c7befcb368ae1d204b6f87d43fb7c895fe4d22,1.2212977999879513,5.0,10000.0,level_03,1.7867342999961693,5.0,10000.0,level_04,1.9124018999864347,5.0,10000.0,level_05,1.4629800364937988,1.070333680833538,0.0,0.0
random_random_s1009_i100,extreme_point_ffd,37450de20deb61df179aa4bc93c7befcb368ae1d204b6f87d43fb7c895fe4d22,1.1394269000156785,5.0,10000.0,level_03,1.5437748999975156,5.0,10000.0,level_04,1.5334308999881614,5.0,10000.0,level_05,1.3548696278596488,0.9932995412677257,0.0,0.0
random_random_s1009_i100,maximal_space_best_fit,37450de20deb61df179aa4bc93c7befcb368ae1d204b6f87d43fb7c895fe4d22,1.086425599991344,5.0,10000.0,level_03,1.1092628999904264,5.0,10000.0,level_04,1.381032100005541,5.0,10000.0,level_05,1.0210205834612738,1.244999810250086,0.0,0.0
random_random_s1009_i20,extreme_point_best_fit,7078c3cd48699f24a1e60afe165da179fb15f0347f6483fa5a04a9de643d5fd4,0.3682021000131499,1.0,2000.0,level_03,0.3174357000098098,2.0,4000.0,level_04,0.5700121000118088,2.0,4000.0,level_05,0.8621235457333702,1.7956773607826515,1.0,0.0
random_random_s1009_i20,extreme_point_ffd,7078c3cd48699f24a1e60afe165da179fb15f0347f6483fa5a04a9de643d5fd4,0.3369255999859888,1.0,2000.0,level_03,0.3114749999949708,2.0,4000.0,level_04,0.5622305999859236,2.0,4000.0,level_05,0.9244622551920175,1.8050585119030471,1.0,0.0
random_random_s1009_i20,maximal_space_best_fit,7078c3cd48699f24a1e60afe165da179fb15f0347f6483fa5a04a9de643d5fd4,0.3380188999872189,1.0,2000.0,level_03,0.3057644999935291,2.0,4000.0,level_04,0.5537821000034455,2.0,4000.0,level_05,0.9045781168008376,1.8111392918902136,1.0,0.0
random_random_s1009_i200,extreme_point_best_fit,db73a9699e14c08a3d425ce60dcdccfae4fb0ceb9e32a12d800756d656d1a95c,2.6981555000238586,8.0,16000.0,level_03,4.03237229998922,10.0,20000.0,level_04,7.5465949999925215,10.0,20000.0,level_05,1.4944921817714225,1.8715025395876013,2.0,0.0
random_random_s1009_i200,extreme_point_ffd,db73a9699e14c08a3d425ce60dcdccfae4fb0ceb9e32a12d800756d656d1a95c,2.4696763000101782,8.0,16000.0,level_03,3.3225187999778427,10.0,20000.0,level_04,5.855595600005472,10.0,20000.0,level_05,1.3453256201892327,1.7623965288155847,2.0,0.0
random_random_s1009_i200,maximal_space_best_fit,db73a9699e14c08a3d425ce60dcdccfae4fb0ceb9e32a12d800756d656d1a95c,1.966465600009542,8.0,16000.0,level_03,1.7025998999888543,9.0,18000.0,level_04,3.0254380999831483,9.0,18000.0,level_05,0.8658172815128791,1.7769518839998486,1.0,0.0
random_random_s1009_i300,extreme_point_best_fit,8ab58e990bad2612280acaa4dfdbaec15a176c25211c644ec1a0891515de08cc,4.981043300009333,12.0,24000.0,level_03,8.207253699976718,13.0,26000.0,level_04,9.004794000007678,13.0,26000.0,level_05,1.647697722274637,1.09717505138573,1.0,0.0
